Designator,Mid X,Mid Y,Rotation,Layer
C1,93.378,-74.549,0.0,top
C10,91.981,-63.754,0.0,top
C11,71.534,-81.854,90.0,top
C12,101.252,-64.008,0.0,top
C13,91.346,-60.579,0.0,top
C14,68.994,-82.616,90.0,top
C15,101.252,-61.214,0.0,top
C16,90.849888,-56.0,0.0,top
C17,64.135,-83.455,90.0,top
C18,100.920112,-56.388,180.0,top
C19,94.4626,-43.9674,90.0,top
C2,79.642,-81.842,270.0,top
C20,89.7128,-46.355,180.0,top
C21,59.596,-38.354,270.0,top
C22,85.9282,-36.6776,90.0,top
C23,70.0,-38.0,270.0,top
C25,75.0,-45.4,270.0,top
C28,76.0,-56.0,270.0,top
C29,84.0,-59.75,90.0,top
C3,99.728,-74.549,180.0,top
C4,89.949,-71.247,180.0,top
C5,82.456,-81.838,270.0,top
C6,102.776,-71.374,0.0,top
C7,88.0,-67.564,90.0,top
C8,75.598,-86.172,180.0,top
C9,98.204,-67.564,90.0,top
D1,97.028,-50.292,90.0,top
D2,56.421,-84.0505,90.0,top
D3,107.188,-48.768,270.0,top
D4,38.862,-89.662,90.0,top
IC1,88.8746,-42.1992,90.0,top
J1,98.169,-87.6785,90.0,top
J2,24.638,-60.96,90.0,top
J3,38.703,-49.784,90.0,top
J4,38.703,-34.544,270.0,top
J5,29.609,-86.36,90.0,top
JP1,79.4,-52.6,180.0,top
L1,94.461,-78.258,90.0,top
L2,87.536,-78.359,180.0,top
L3,99.822,-78.232,90.0,top
R1,94.902,-64.008,270.0,top
R10,105.062,-67.564,90.0,top
R11,105.062,-60.198,270.0,top
R12,105.062,-56.388,270.0,top
R13,93.726,-49.276,0.0,top
R14,56.421,-79.9865,270.0,top
R15,103.632,-48.768,90.0,top
R16,25.654,-66.802,0.0,top
R18,75.4,-38.0,270.0,top
R19,72.996,-38.0,270.0,top
R2,71.534,-78.552,0.0,top
R20,82.0,-63.4,0.0,top
R21,78.994,-67.3715,270.0,top
R22,76.9005,-63.246,180.0,top
R23,73.0,-65.4,270.0,top
R3,105.062,-64.008,270.0,top
R4,95.156,-55.372,270.0,top
R5,95.156,-60.198,270.0,top
R6,94.902,-68.072,270.0,top
R7,62.5405,-78.552,0.0,top
R8,67.47,-78.552,0.0,top
R9,75.344,-78.552,0.0,top
U1,91.854,-67.437,270.0,top
U2,75.598,-81.854,0.0,top
U3,101.252,-67.564,270.0,top
U4,31.656,-58.42,90.0,top
U6,64.676,-42.799,270.0,top
U8,80.616,-42.799,90.0,top
U9,80.0242,-58.0136,0.0,top
