Designator,Mid X,Mid Y,Rotation,Layer
C1,93.378,-74.549,0.0,top
C10,91.981,-63.754,0.0,top
C11,56.134,-92.014,90.0,top
C12,50.038,-91.776,90.0,top
C13,91.346,-60.579,0.0,top
C14,61.468,-82.5115,270.0,top
C16,90.849888,-56.0,0.0,top
C17,67.564,-82.058,270.0,top
C19,94.4626,-43.9674,90.0,top
C2,82.042,-81.346,270.0,top
C20,89.7128,-46.355,180.0,top
C21,59.596,-38.354,270.0,top
C22,85.9282,-34.544,90.0,top
C23,70.0,-38.0,270.0,top
C25,75.0,-45.4,270.0,top
C28,71.8636,-62.5238,180.0,top
C29,68.1136,-70.5238,0.0,top
C3,74.422,-90.236,270.0,top
C4,89.949,-71.247,180.0,top
C5,82.042,-75.692,90.0,top
C6,79.502,-93.538,0.0,top
C7,88.0,-67.564,90.0,top
C8,79.502,-81.026,270.0,top
C9,71.882,-89.982,270.0,top
D1,97.028,-50.292,90.0,top
D2,54.356,-82.042,90.0,top
D3,41.402,-91.694,270.0,top
D4,32.766,-87.884,90.0,top
IC1,88.8746,-42.1992,90.0,top
J1,92.9831,-88.9485,90.0,top
J2,24.638,-60.96,90.0,top
J3,38.703,-49.784,90.0,top
J4,38.703,-34.544,270.0,top
J5,24.892,-86.614,0.0,top
JP1,76.454,-57.404,90.0,top
L1,94.461,-78.258,90.0,top
L2,87.536,-78.359,180.0,top
L3,78.486,-88.712,180.0,top
R1,94.902,-64.008,270.0,top
R13,93.726,-49.276,0.0,top
R14,57.912,-80.9215,180.0,top
R15,44.958,-90.678,180.0,top
R16,25.654,-66.802,0.0,top
R17,64.6176,-66.04,270.0,top
R18,75.4,-38.0,270.0,top
R19,72.996,-38.0,270.0,top
R20,71.628,-71.12,90.0,top
R21,60.452,-67.31,180.0,top
R23,60.198,-64.516,180.0,top
R4,98.806,-55.372,270.0,top
R5,98.806,-62.484,270.0,top
R6,94.902,-68.072,270.0,top
U1,91.854,-67.437,270.0,top
U4,31.656,-58.42,90.0,top
U5,72.964,-78.74,270.0,top
U6,64.676,-42.799,270.0,top
U7,64.008,-90.81,180.0,top
U8,80.616,-42.799,90.0,top
U9,69.85,-66.548,270.0,top
