Designator,Mid X,Mid Y,Rotation,Layer
R16,128.8,-67.4,90.0,top
C7,98.6,-88.2,90.0,top
L1,105.8,-88.0,0.0,top
R21,124.3125,-71.2,180.0,top
J1,97.6,-94.525,0.0,top
D1,101.4,-94.2,-90.0,top
U3,112.2,-75.0,0.0,top
C8,121.5,-95.25,180.0,top
C26,147.0,-95.75,-90.0,top
R12,110.0,-60.4,0.0,top
R14,123.0,-61.0,90.0,top
C17,110.4,-78.6,180.0,top
C30,119.0,-84.75,90.0,top
C13,137.75,-82.75,0.0,top
C14,141.5,-94.75,90.0,top
U5,124.4,-75.0,0.0,top
R15,131.6,-73.4,90.0,top
J4,144.0,-62.0,0.0,top
C11,145.0,-86.25,-90.0,top
C5,129.0,-73.6,-90.0,top
C28,114.25,-89.25,-90.0,top
L3,126.75,-95.75,0.0,top
J3,144.0,-75.0,0.0,top
C16,136.25,-86.0,-90.0,top
R19,114.0,-60.4,0.0,top
R5,103.0,-68.6,0.0,top
R18,120.6,-61.0,-90.0,top
R9,140.0,-90.75,0.0,top
C29,116.75,-89.25,90.0,top
SW1,106.2,-62.0,180.0,top
R23,120.4,-69.0,180.0,top
U2,136.25,-94.5,0.0,top
C31,121.5,-97.75,0.0,top
U4,139.75,-86.0,0.0,top
C2,112.0,-65.4,0.0,top
C25,147.5,-87.0,-90.0,top
R8,140.0,-88.75,180.0,top
R7,136.5,-97.5,180.0,top
R6,105.4,-76.8,90.0,top
R4,144.0,-91.75,180.0,top
C1,109.4,-70.6,0.0,top
C10,132.25,-85.5,0.0,top
J2,100.0,-75.0,0.0,top
C9,131.25,-96.5,0.0,top
L4,132.5,-89.5,0.0,top
U1,120.75,-90.25,90.0,top
U6,132.6,-67.4,90.0,top
R2,140.0,-97.5,180.0,top
C4,116.8,-73.6,-90.0,top
R10,115.5,-95.5,0.0,top
C12,131.25,-93.25,180.0,top
C3,107.4,-76.8,90.0,top
C15,136.25,-91.5,0.0,top
C27,145.25,-82.25,0.0,top
R22,134.4,-75.6,0.0,top
R1,129.5,-89.5,-90.0,top
R3,143.5,-89.0,180.0,top
R13,114.0,-70.4,0.0,top
C23,137.6,-76.4,90.0,top
C24,138.0,-63.0,90.0,top
R20,118.4,-76.6,0.0,top
R11,121.0,-84.75,90.0,top
D2,115.5,-93.25,0.0,top
RV1,121.8,-65.4,0.0,top
C6,131.2,-62.8,0.0,top
C19,143.0,-86.25,-90.0,top
C33,127.25,-90.25,-90.0,top
R17,134.9125,-62.0,0.0,top
C22,143.75,-95.5,-90.0,top
C20,136.2,-69.4,-90.0,top
C21,122.4,-78.6,180.0,top
C32,124.75,-90.25,90.0,top
C18,139.5,-94.75,-90.0,top
